Y,X1,X2,X1sq,X2sq,X1X2
32906.8,1,107,1,11449,107
2750.32,2,72,4,5184,144
1641.66,3,142,9,20164,426
1899.95,3,117,9,13689,351
1805.24,4,68,16,4624,272
1121.77,4,141,16,19881,564
1351.93,4,112,16,12544,448
1479.77,5,57,25,3249,285
717.16,5,133,25,17689,665
1115.66,6,57,36,3249,342
1440.91,6,34,36,1156,204
1915.12,6,7,36,49,42
1328.06,6,41,36,1681,246
247.71,7,120,49,14400,840
753.74,7,61,49,3721,427
73.95,8,117,64,13689,936
422.74,9,48,81,2304,432
628.35,9,35,81,1225,315
303.37,9,63,81,3969,567
13.49,18,5,324,25,90